review_tier,id,klass,title,source_decision,cap,final_review_status,final_source_priority,final_valid_from,final_valid_to,final_supersedes,final_procedure_version,final_last_verified_at,existing_phi_le_phi,final_phi_le_phi,candidate_thoi_han,final_thoi_han,candidate_mau_don,final_mau_don,suggested_authority,final_authority,paper_flag,notes
HIGH,tthc_5568-tinh-01,tthc,Cấp hộ chiếu phổ thông ở trong nước,5568/QD-BCA,tinh,pending,current_procedure,,,,,,Lệ phí: Chưa xác minh | Phí: Chưa xác minh,Lệ phí: Chưa xác minh | Phí: Chưa xác minh,,,TK01,TK01,Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_5568-tinh-02,tthc,Khôi phục giá trị sử dụng hộ chiếu phổ thông,5568/QD-BCA,tinh,pending,current_procedure,,,,,,Lệ phí: Không | Phí: Không,Lệ phí: Không | Phí: Không,,,TK04,TK04,Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_5568-tinh-03,tthc,Trình báo mất hộ chiếu phổ thông,5568/QD-BCA,tinh,pending,current_procedure,,,,,,Lệ phí: Không | Phí: Không,Lệ phí: Không | Phí: Không,,,TK05,TK05,Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_5568-tinh-04,tthc,Cấp thị thực cho người nước ngoài tại Việt Nam,5568/QD-BCA,tinh,pending,current_procedure,,,,,,Lệ phí: Không | Phí: Không,Lệ phí: Không | Phí: Không,,,NA5,NA5,Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_5568-tinh-05,tthc,Cấp thẻ tạm trú cho người nước ngoài tại Việt Nam tại Công an cấp tỉnh,5568/QD-BCA,tinh,pending,current_procedure,,,,,,"Lệ phí: Không | Phí: Thẻ tạm trú có thời hạn không quá 02 năm: 145 USD/thẻ.
	Thẻ tạm trú có thời hạn từ trên 02 năm đến 05 năm: 155 USD/thẻ.
	Thẻ tạm trú có thời hạn từ trên 05 năm đến 10 năm: 165 USD/thẻ.","Lệ phí: Không | Phí: Thẻ tạm trú có thời hạn không quá 02 năm: 145 USD/thẻ.
	Thẻ tạm trú có thời hạn từ trên 02 năm đến 05 năm: 155 USD/thẻ.
	Thẻ tạm trú có thời hạn từ trên 05 năm đến 10 năm: 165 USD/thẻ.",,,"NA6, NA7, NA8","NA6, NA7, NA8",Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_5568-tinh-06,tthc,Gia hạn tạm trú cho người đã được cấp giấy miễn thị thực,5568/QD-BCA,tinh,pending,current_procedure,,,,,,Lệ phí: Không | Phí: 10 USD/lần,Lệ phí: Không | Phí: 10 USD/lần,,,NA5,NA5,Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_5568-tinh-07,tthc,Gia hạn tạm trú cho người nước ngoài tại Việt Nam,5568/QD-BCA,tinh,pending,current_procedure,,,,,,Lệ phí: Không | Phí: 10 USD/lần,Lệ phí: Không | Phí: 10 USD/lần,,,NA5,NA5,Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_5568-tinh-08,tthc,Cấp thẻ thường trú cho người nước ngoài tại Việt Nam,5568/QD-BCA,tinh,pending,current_procedure,,,,,,Lệ phí: Chưa xác minh | Phí: Chưa xác minh,Lệ phí: Chưa xác minh | Phí: Chưa xác minh,,,NA12,NA12,Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_5568-tinh-09,tthc,Cấp đổi thẻ thường trú cho người nước ngoài tại Việt Nam tại Công an cấp tỉnh,5568/QD-BCA,tinh,pending,current_procedure,,,,,,Lệ phí: Chưa xác minh | Phí: Chưa xác minh,Lệ phí: Chưa xác minh | Phí: Chưa xác minh,,,NA13,NA13,Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_5568-tinh-10,tthc,Cấp lại thẻ thường trú cho người nước ngoài tại Việt Nam tại Công an cấp tỉnh,5568/QD-BCA,tinh,pending,current_procedure,,,,,,Lệ phí: Không | Phí: 100 USD/thẻ,Lệ phí: Không | Phí: 100 USD/thẻ,,,NA13,NA13,Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_5568-tinh-11,tthc,"Cấp giấy phép vào khu vực cấm, khu vực biên giới cho người nước ngoài tại Công an cấp tỉnh",5568/QD-BCA,tinh,pending,current_procedure,,,,,,Lệ phí: Chưa xác minh | Phí: Chưa xác minh,Lệ phí: Chưa xác minh | Phí: Chưa xác minh,,,,,Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_5568-tinh-12,tthc,Cấp giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,5568/QD-BCA,tinh,pending,current_procedure,,,,,,Lệ phí: 200.000 đồng/lần cấp | Phí: Không,Lệ phí: 200.000 đồng/lần cấp | Phí: Không,,,,,Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_5568-tinh-13,tthc,Cấp lại giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,5568/QD-BCA,tinh,pending,current_procedure,,,,,,Lệ phí: 200.000 đồng/lần cấp lại | Phí: Không,Lệ phí: 200.000 đồng/lần cấp lại | Phí: Không,,,,,Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_5568-tw-01,tthc,Cấp hộ chiếu phổ thông ở trong nước,5568/QD-BCA,trung-uong,pending,current_procedure,,,,,,Lệ phí: Chưa xác minh | Phí: Chưa xác minh,Lệ phí: Chưa xác minh | Phí: Chưa xác minh,,,TK01,TK01,,,,
HIGH,tthc_5568-tw-02,tthc,Khôi phục giá trị sử dụng hộ chiếu phổ thông,5568/QD-BCA,trung-uong,pending,current_procedure,,,,,,Lệ phí: Không | Phí: Không,Lệ phí: Không | Phí: Không,,,TK04,TK04,,,,
HIGH,tthc_5568-tw-03,tthc,Trình báo mất hộ chiếu phổ thông,5568/QD-BCA,trung-uong,pending,current_procedure,,,,,,Lệ phí: Không | Phí: Không,Lệ phí: Không | Phí: Không,,,TK05,TK05,,,,
HIGH,tthc_5568-tw-04,tthc,Cấp Giấy xác nhận nhân sự của công dân Việt Nam ở nước ngoài,5568/QD-BCA,trung-uong,pending,current_procedure,,,,,,Lệ phí: 100.000 đồng/giấy xác nhận nhân sự | Phí: Không,Lệ phí: 100.000 đồng/giấy xác nhận nhân sự | Phí: Không,,,TK03,TK03,,,,
HIGH,tthc_5568-tw-05,tthc,Đăng ký tài khoản điện tử,5568/QD-BCA,trung-uong,pending,current_procedure,,,,,,Lệ phí: Không | Phí: Không,Lệ phí: Không | Phí: Không,,,NA19,NA19,,,,
HIGH,tthc_5568-tw-06,tthc,Cấp thị thực điện tử theo đề nghị của người nước ngoài,5568/QD-BCA,trung-uong,pending,current_procedure,,,,,,Lệ phí: Không | Phí: Thị thực điện tử giá trị một lần: 25 USD/thị thực. Thị thực điện tử giá trị nhiều lần (tối đa 90 ngày): 50 USD/thị thực.,Lệ phí: Không | Phí: Thị thực điện tử giá trị một lần: 25 USD/thị thực. Thị thực điện tử giá trị nhiều lần (tối đa 90 ngày): 50 USD/thị thực.,,,,,,,,
HIGH,tthc_5568-tw-07,tthc,"Cấp thị thực điện tử theo đề nghị của cơ quan, tổ chức",5568/QD-BCA,trung-uong,pending,current_procedure,,,,,,Lệ phí: Không | Phí: Thị thực điện tử giá trị một lần: 25 USD/thị thực. Thị thực điện tử giá trị nhiều lần: 50 USD/thị thực.,Lệ phí: Không | Phí: Thị thực điện tử giá trị một lần: 25 USD/thị thực. Thị thực điện tử giá trị nhiều lần: 50 USD/thị thực.,,,,,,,,
HIGH,tthc_5568-tw-08,tthc,Cấp thị thực cho người nước ngoài tại Việt Nam,5568/QD-BCA,trung-uong,pending,current_procedure,,,,,,"Lệ phí: Không | Phí: + Cấp thị thực có giá trị một lần: 25 USD/chiếc
+ Cấp thị thực có giá trị nhiều lần:
Loại có giá trị không quá 90 ngày: 50 USD/chiếc
Loại có giá trị trên 90 ngày đến 180 ngày: 95 USD/chiếc
Loại có giá trị trên 180 ngày đến 01 năm: 135 USD/chiếc
Loại có giá trị trên 12 tháng đến 02 năm: 145 USD/chiếc
Loại có giá trị trên 02 năm đến 05 năm: 155 USD/chiếc
Thị thực cấp cho người dưới 14 tuổi (không phân biệt thời hạn): 25 USD/chiếc
+ Chuyển ngang giá trị thị thực, thẻ tạm trú, thời hạn tạm trú còn giá trị từ hộ chiếu cũ sang hộ chiếu mới: 5 USD/chiếc
+ Chuyển ngang giá trị thị thực, thời hạn tạm trú còn giá trị từ thị thực rời cũ (đã hết chỗ đóng dấu: kiểm chứng nhập cảnh, kiểm chứng xuất cảnh, chứng nhận tạm trú, gia hạn tạm trú) sang thị thực rời mới: 5 USD/chiếc","Lệ phí: Không | Phí: + Cấp thị thực có giá trị một lần: 25 USD/chiếc
+ Cấp thị thực có giá trị nhiều lần:
Loại có giá trị không quá 90 ngày: 50 USD/chiếc
Loại có giá trị trên 90 ngày đến 180 ngày: 95 USD/chiếc
Loại có giá trị trên 180 ngày đến 01 năm: 135 USD/chiếc
Loại có giá trị trên 12 tháng đến 02 năm: 145 USD/chiếc
Loại có giá trị trên 02 năm đến 05 năm: 155 USD/chiếc
Thị thực cấp cho người dưới 14 tuổi (không phân biệt thời hạn): 25 USD/chiếc
+ Chuyển ngang giá trị thị thực, thẻ tạm trú, thời hạn tạm trú còn giá trị từ hộ chiếu cũ sang hộ chiếu mới: 5 USD/chiếc
+ Chuyển ngang giá trị thị thực, thời hạn tạm trú còn giá trị từ thị thực rời cũ (đã hết chỗ đóng dấu: kiểm chứng nhập cảnh, kiểm chứng xuất cảnh, chứng nhận tạm trú, gia hạn tạm trú) sang thị thực rời mới: 5 USD/chiếc",,,NA5,NA5,,,,
HIGH,tthc_5568-tw-09,tthc,"Kiểm tra, xét duyệt nhân sự, cấp phép nhập cảnh cho người nước ngoài, người Việt Nam định cư ở nước ngoài nhập cảnh vào Việt Nam tại Cục Quản lý xuất nhập cảnh, Bộ Công an",5568/QD-BCA,trung-uong,pending,current_procedure,,,,,,Lệ phí: Chưa xác minh | Phí: Chưa xác minh,Lệ phí: Chưa xác minh | Phí: Chưa xác minh,,,"NA2, NA3","NA2, NA3",,,,
HIGH,tthc_5568-tw-10,tthc,"Cấp thẻ tạm trú cho người nước ngoài tại Cục Quản lý xuất nhập cảnh, Bộ Công an",5568/QD-BCA,trung-uong,pending,current_procedure,,,,,,"Lệ phí: Không | Phí: + Thẻ tạm trú có thời hạn không quá 02 năm: 145 USD/thẻ.
+ Thẻ tạm trú có thời hạn từ trên 02 năm đến 05 năm: 155 USD/thẻ.
+ Thẻ tạm trú có thời hạn từ trên 05 năm đến 10 năm: 165 USD/thẻ.","Lệ phí: Không | Phí: + Thẻ tạm trú có thời hạn không quá 02 năm: 145 USD/thẻ.
+ Thẻ tạm trú có thời hạn từ trên 02 năm đến 05 năm: 155 USD/thẻ.
+ Thẻ tạm trú có thời hạn từ trên 05 năm đến 10 năm: 165 USD/thẻ.",,,"NA6, NA7, NA8","NA6, NA7, NA8",,,,
HIGH,tthc_5568-tw-11,tthc,Gia hạn tạm trú cho người đã được cấp giấy miễn thị thực,5568/QD-BCA,trung-uong,pending,current_procedure,,,,,,Lệ phí: Không | Phí: 10 USD/lần,Lệ phí: Không | Phí: 10 USD/lần,,,NA5,NA5,,,,
HIGH,tthc_5568-tw-12,tthc,Gia hạn tạm trú cho người nước ngoài tại Việt Nam,5568/QD-BCA,trung-uong,pending,current_procedure,,,,,,Lệ phí: Không | Phí: 10 USD/lần,Lệ phí: Không | Phí: 10 USD/lần,,,NA5,NA5,,,,
HIGH,tthc_5568-tw-13,tthc,Cấp giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,5568/QD-BCA,trung-uong,pending,current_procedure,,,,,,Lệ phí: 200.000 đồng/lần cấp | Phí: Không,Lệ phí: 200.000 đồng/lần cấp | Phí: Không,,,,,,,,
HIGH,tthc_5568-tw-14,tthc,Cấp lại giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,5568/QD-BCA,trung-uong,pending,current_procedure,,,,,,Lệ phí: 200.000 đồng/lần cấp lại | Phí: Không,Lệ phí: 200.000 đồng/lần cấp lại | Phí: Không,,,,,,,,
HIGH,tthc_matt26265,tthc,Khai báo tạm trú cho người nước ngoài tại Việt Nam qua Trang thông tin điện tử,KBTT_HD_Trang_CSLT_v2.0.pdf,xa,pending,current_procedure,,,,,,Lệ phí: Không | Phí: Không,Lệ phí: Không | Phí: Không,"Trong 12 giờ kể từ khi người nước ngoài đến cơ sở lưu trú; địa bàn vùng sâu, vùng xa trong 24 giờ.","Trong 12 giờ kể từ khi người nước ngoài đến cơ sở lưu trú; địa bàn vùng sâu, vùng xa trong 24 giờ.",,,Công an cấp xã,Công an cấp xã,,
HIGH,tthc_tinh-01,tthc,"Xác nhận, cung cấp thông tin liên quan đến xuất nhập cảnh của công dân Việt Nam",8258/QD-BCA,tinh,pending,current_procedure,,,,,,Lệ phí: Không | Phí: Không,Lệ phí: Không | Phí: Không,,,,,Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_tinh-02,tthc,Cấp giấy thông hành biên giới Việt Nam - Lào cho công dân Việt Nam thường trú ở tỉnh có chung đường biên giới với Lào,8258/QD-BCA,tinh,pending,current_procedure,,,,,,Lệ phí: Chưa xác minh | Phí: Chưa xác minh,Lệ phí: Chưa xác minh | Phí: Chưa xác minh,,,,,Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_tinh-03,tthc,Cấp giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,8258/QD-BCA,tinh,pending,current_procedure,,,,,,Lệ phí: 200.000 đồng/lần cấp | Phí: Không,Lệ phí: 200.000 đồng/lần cấp | Phí: Không,,,,,Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_tinh-04,tthc,Cấp lại giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,8258/QD-BCA,tinh,pending,current_procedure,,,,,,Lệ phí: 200.000 đồng/lần cấp lại | Phí: Không,Lệ phí: 200.000 đồng/lần cấp lại | Phí: Không,,,,,Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_tw-01,tthc,"Xác nhận, cung cấp thông tin liên quan đến xuất nhập cảnh của công dân Việt Nam",8258/QD-BCA,trung-uong,pending,current_procedure,,,,,,Lệ phí: Không | Phí: Không,Lệ phí: Không | Phí: Không,,,,,,,,
HIGH,tthc_tw-02,tthc,Cấp giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,8258/QD-BCA,trung-uong,pending,current_procedure,,,,,,Lệ phí: 200.000 đồng/lần cấp | Phí: Không,Lệ phí: 200.000 đồng/lần cấp | Phí: Không,,,,,,,,
HIGH,tthc_tw-03,tthc,Cấp lại giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,8258/QD-BCA,trung-uong,pending,current_procedure,,,,,,Lệ phí: 200.000 đồng/lần cấp lại | Phí: Không,Lệ phí: 200.000 đồng/lần cấp lại | Phí: Không,,,,,,,,
HIGH,tthc_xa-01,tthc,"Xác nhận, cung cấp thông tin liên quan đến xuất nhập cảnh của công dân Việt Nam",8258/QD-BCA,xa,pending,current_procedure,,,,,,Lệ phí: Không | Phí: Không,Lệ phí: Không | Phí: Không,,,,,Công an cấp xã,Công an cấp xã,,
HIGH,tthc_xa-02,tthc,Cấp giấy thông hành biên giới Việt Nam - Lào cho công dân Việt Nam thường trú ở tỉnh có chung đường biên giới với Lào,8258/QD-BCA,xa,pending,current_procedure,,,,,,Lệ phí: Chưa xác minh | Phí: Chưa xác minh,Lệ phí: Chưa xác minh | Phí: Chưa xác minh,,,,,Công an cấp xã,Công an cấp xã,,
HIGH,tthc_xa-03,tthc,"Cấp giấy thông hành xuất, nhập cảnh vùng biên giới Việt Nam - Trung Quốc cho công dân Việt Nam thường trú tại đơn vị hành chính cấp xã tiếp giáp đường biên giới Việt Nam-Trung Quốc",8258/QD-BCA,xa,pending,current_procedure,,,,,,Lệ phí: Không | Phí: Không,Lệ phí: Không | Phí: Không,01 ngày làm việc,01 ngày làm việc,,,Công an cấp xã,Công an cấp xã,,
HIGH,tthc_xa-04,tthc,"Cấp giấy thông hành xuất, nhập cảnh vùng biên giới Việt Nam - Trung Quốc cho cán bộ, công chức làm việc tại các cơ quan nhà nước có trụ sở đóng tại đơn vị hành chính cấp xã thuộc tỉnh của Việt Nam tiếp giáp đường biên giới Việt Nam - Trung Quốc",8258/QD-BCA,xa,pending,current_procedure,,,,,,Lệ phí: Không | Phí: Không,Lệ phí: Không | Phí: Không,01 ngày làm việc,01 ngày làm việc,,,Công an cấp xã,Công an cấp xã,,
BULK,guide_cap_xa_2025_a_01_quan_ly_xuat_nhap_canh_trinh_bao_mat_ho_chieu_pho_thong_thuc_hien_tai_cap_xa_01_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,broad,
