id,title,cap,match_status,match_method,match_score,source_title,source_url,source_content_hash,scraped_processing_time,scraped_fee,scraped_forms,scraped_agency,risk_flags,reviewer_note
tthc_5568-tinh-01,Cấp hộ chiếu phổ thông ở trong nước,tinh,matched,exact_title,1.000,Cấp hộ chiếu phổ thông ở trong nước,https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Cap-ho-chieu-pho-thong-o-trong-nuoc-2357-17,bbf16bc99355ce78da6a90569cca3e19ff2fdfe14d97ef99fae95a73b0ceac45,Không quá 08 ngày làm việc kể từ ngày nhận đầy đủ hồ sơ theo quy định.,"+ Cấp mới Hộ chiếu: 100. 000đ/hộ chiếu (áp dụng đến hết ngày 31/12/2026 theo Thông tư số 64/2025/TT-BTC ngày 30/6/2025 của Bộ Tài chính)
+ Cấp lại do bị hỏng hoặc bị mất: 200.000đ/hộ chiếu (áp dụng đến hết ngày 31/12/2026 theo Thông tư số 64/2025/TT-BTC ngày 30/6/2025 của Bộ Tài chính).",TK01.pdf | TK01a.pdf,Phòng Quản lý xuất nhập cảnh Công an tỉnh Phú Thọ.,dated_validity_claim,Nguồn tham khảo; chưa tự động phê duyệt.
tthc_5568-tinh-02,Khôi phục giá trị sử dụng hộ chiếu phổ thông,tinh,matched,exact_title,1.000,Khôi phục giá trị sử dụng hộ chiếu phổ thông,https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Khoi-phuc-gia-tri-su-dung-ho-chieu-pho-thong-2358-17,fa10853a89a3eed637e7488eeb4f2f04fe2a27feb0d4fc2ec1f6c271bdea909d,Không quá 04 ngày làm việc từ ngày nhận đầy đủ hồ sơ theo quy định.,không.,TK04.pdf,Phòng Quản lý xuất nhập cảnh Công an tỉnh Phú Thọ.,,Nguồn tham khảo; chưa tự động phê duyệt.
tthc_5568-tinh-03,Trình báo mất hộ chiếu phổ thông,tinh,review_suggestion,suggested_title,1.000,Trình báo mất hộ chiếu phổ thông thực hiện tại cấp tỉnh,https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Trinh-bao-mat-ho-chieu-pho-thong-thuc-hien-tai-2359-17,4c3af0d3416e051332f8952515524ace3d48ce32bd6e8526921359f04549fbb5,"01 ngày làm việc kể từ khi nhận đơn trình báo mất hộ chiếu phổ thông, Phòng Quản lý xuất nhập cảnh Công an tỉnh Phú Thọ thông báo bằng văn bản cho người gửi đơn và Cục Quản lý xuất nhập cảnh; trong thời hạn 01 ngày làm việc kể từ ngày nhận được thông báo của Phòng Quản lý xuất nhập cảnh Công an tỉnh Phú Thọ, Cục Quản lý xuất nhập cảnh thực hiện hủy giá trị sử dụng của hộ chiếu và thông báo về việc giải quyết đơn trình báo mất hộ chiếu cho người gửi đơn.",Không.,TK05.pdf,Phòng Quản lý xuất nhập cảnh Công an tỉnh Phú Thọ.,,Nguồn tham khảo; chưa tự động phê duyệt.
tthc_5568-tinh-04,Cấp thị thực cho người nước ngoài tại Việt Nam,tinh,matched,exact_title,1.000,Cấp thị thực cho người nước ngoài tại Việt Nam,https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Cap-thi-thuc-cho-nguoi-nuoc-ngoai-tai-Viet-Nam--2361-17,e9ba82e192875fce902c601449e7aeeee8b2ef543936d7d2c19ee1841e078cba,"+ Không quá 05 ngày làm việc kể từ ngày Phòng Quản lý xuất nhập cảnh - Công an tỉnh Phú Thọ nhận hồ sơ đầy đủ, hợp lệ và phí đề nghị đối với các trường hợp còn lại.
+ Đối với hồ sơ qua thẩm định chưa đủ điều kiện giải quyết, sau 15 ngày kể từ khi thông báo, nếu cơ quan, tổ chức, cá nhân bảo lãnh không hoàn thành việc hoàn thiện hồ sư thì hồ sơ sẽ bị đóng trên Hệ thống thông tin giải quyết thủ tục hành chính.","+ Cấp thị thực có giá trị một lần: 25 USD/chiếc.
+ Cấp thị thực có giá trị nhiều lần:
Loại có giá trị không quá 90 ngày: 50 USD/chiếc.
Loại có giá trị trên 90 ngày đến 180 ngày: 95 USD/chiếc.
Loại có giá trị trên 180 ngày đến 01 năm: 135 USD/chiếc.
Loại có giá trị trên 12 tháng đến 02 năm: 145 USD/chiếc.
Loại có giá trị trên 02 năm đến 05 năm: 155 USD/chiếc.
Loại có giá trị trên 05 năm đến 10 năm: 165 USD/chiếc.
Thị thực cấp cho người dưới 14 tuổi (không phân biệt thời hạn): 25 USD/chiếc.
+ Chuyển ngang giá trị thị thực, thẻ tạm trú, thời hạn tạm trú còn giá trị từ hộ chiếu cũ sang hộ chiếu mới: 5 USD/chiếc.
+ Chuyển ngang giá trị thị thực, thời hạn tạm trú còn giá trị từ thị thực rời cũ (đã hết chỗ đóng dấu: Kiểm chứng nhập cảnh, kiểm chứng xuất cảnh, chứng nhận tạm trú, gia hạn tạm trú) sang thị thực rời mới: 5 USD/chiếc.",Mẫu-NA15- Cấp giấy phép vào khu vực cấm.doc,Phòng Quản lý xuất nhập cảnh Công an tỉnh Phú Thọ.,,Nguồn tham khảo; chưa tự động phê duyệt.
tthc_5568-tinh-05,Cấp thẻ tạm trú cho người nước ngoài tại Việt Nam tại Công an cấp tỉnh,tinh,matched,exact_title,1.000,Cấp thẻ tạm trú cho người nước ngoài tại Việt Nam tại Công an cấp tỉnh,https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Cap-the-tam-tru-cho-nguoi-nuoc-ngoai-tai-Viet-Nam-2362-17,9c31c0be1f8c04c49d6909c5df15f5b87dbd2e8ebcefbcd05e4ede107ead1102,"+ Không quá 05 ngày làm việc kể từ ngày Phòng Quản lý xuất nhập cảnh - Công an tỉnh Phú Thọ nhận hồ sơ đầy đủ, hợp lệ và phí đề nghị đối với các trường hợp còn lại.
+ Đối với hồ sơ qua thẩm định chưa đủ điều kiện giải quyết, sau 15 ngày kể từ khi thông báo, nếu cơ quan, tổ chức, cá nhân bảo lãnh không hoàn thành việc hoàn thiện hồ sư thì hồ sơ sẽ bị đóng trên Hệ thống thông tin giải quyết thủ tục hành chính.","+ Thẻ tạm trú có thời hạn không quá 02 năm: 145 USD/thẻ.
+ Thẻ tạm trú có thời hạn từ trên 02 năm đến 05 năm: 155 USD/thẻ.
+ Thẻ tạm trú có thời hạn từ trên 05 năm đến 10 năm: 165 USD/thẻ.
+ Chuyển ngang giá trị thẻ tạm trú còn giá trị từ hộ chiếu cũ sang hộ chiếu mới: 5 USD/thẻ.","Mẫu-NA6 - Văn bản đề nghị của cơ quan, tổ chức blanh.doc | Mẫu-NA7-Đơn-bảo-lãnh-cấp-thẻ-tạm-trú-cho-người-nước-ngoài.doc | Mẫu-NA8.Tờ-khai-đề-nghị-cấp-thẻ-tạm-trú-cho-người-nước-ngoài-docx.doc",Phòng Quản lý xuất nhập cảnh Công an tỉnh Phú Thọ.,,Nguồn tham khảo; chưa tự động phê duyệt.
tthc_5568-tinh-06,Gia hạn tạm trú cho người đã được cấp giấy miễn thị thực,tinh,matched,exact_title,1.000,Gia hạn tạm trú cho người đã được cấp giấy miễn thị thực,https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Gia-han-tam-tru-cho-nguoi-da-duoc-cap-giay-mien-2364-17,57c519bd198c91e87f97a50e664dfd9be1efc1f572342eb5e460dc293f8a88c0,"Trực tiếp
5 Ngày làm việc nộp hồ sơ trực tiếp tại trụ sở Cơ quan Quản lý xuất nhập cảnh Công an cấp tỉnh.
không quá 05 ngày làm việc kể từ ngày nhận đủ hồ sơ. Trực tuyến
5 Ngày làm việc nộp hồ sơ trực tuyến qua Cổng dịch vụ công quốc gia hoặc Cổng dịch vụ công Bộ Công an.
không quá 05 ngày làm việc kể từ ngày nhận đủ hồ sơ. Dịch vụ bưu chính
5 Ngày làm việc nộp bổ sung hồ sơ qua dịch vụ bưu chính công ích theo thông báo của Cơ quan Quản lý xuất nhập cảnh Công an cấp tỉnh trên Cổng dịch vụ công quốc gia hoặc Cổng dịch vụ công Bộ Công an (nếu có).
không quá 05 ngày làm việc kể từ ngày nhận đủ hồ sơ.",10USD/lần.,Mẫu-NA5.-Tờ-khai-xin-cấp-visa-thị-thực-2.doc,Phòng Quản lý xuất nhập cảnh Công an tỉnh Phú Thọ.,,Nguồn tham khảo; chưa tự động phê duyệt.
tthc_5568-tinh-07,Gia hạn tạm trú cho người nước ngoài tại Việt Nam,tinh,matched,exact_title,1.000,Gia hạn tạm trú cho người nước ngoài tại Việt Nam,https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Gia-han-tam-tru-cho-nguoi-nuoc-ngoai-tai-Viet-Nam--1331-17,562b4fb08ab92d9fa431d22af8d4e7d19774e741dc11238c8a30f1dab90eaf79,"Không quá 05 ngày làm việc kể từ ngày Phòng Quản lý xuất nhập cảnh - Công an tỉnh Phú Thọ nhận được hồ sơ đầy đủ, hợp lệ và phí đề nghị.
+ Đối với hồ sơ qua thẩm định chưa đủ điều kiện giải quyết, sau 15 ngày kể từ khi thông báo, nếu cơ quan, tổ chức, cá nhân bảo lãnh không hoàn thành việc hoàn thiện hồ sư thì hồ sơ sẽ bị đóng trên Hệ thống thông tin giải quyết thủ tục hành chính.",10 USD/lần.,Mẫu-NA5.-Tờ-khai-xin-cấp-visa-thị-thực-2.doc,Phòng Quản lý xuất nhập cảnh Công an tỉnh Phú Thọ,,Nguồn tham khảo; chưa tự động phê duyệt.
tthc_5568-tinh-08,Cấp thẻ thường trú cho người nước ngoài tại Việt Nam,tinh,matched,exact_title,1.000,Cấp thẻ thường trú cho người nước ngoài tại Việt Nam,https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Cap-the-thuong-tru-cho-nguoi-nuoc-ngoai-tai-Viet-1332-17,bfd1c197b1dd1a432a14740747bb37df2ddd5f7787444cbfc115fea59ace89a2,"+ Trong thời hạn 04 tháng kể từ ngày nhận đủ hồ sơ, Bộ trưởng Bộ Công an xem xét, quyết định cho thường trú; trường hợp xét thấy cần phải thẩm tra bổ sung thì có thể kéo dài thêm nhưng không quá 02 tháng.
+ Trong thời hạn 05 ngày làm việc kể từ ngày nhận được thông báo của Cục Quản lý xuất nhập cảnh, Phòng Quản lý xuất nhập cảnh - Công an tỉnh Phú Thọ thông báo người nước ngoài được giải quyết cho thường trú.
+ Trong thời hạn 03 tháng kể từ khi nhận được thông báo giải quyết cho thường trú, người nước ngoài phải đến Phòng Quản lý xuất nhập cảnh - Công an tỉnh Phú Thọ để nhận thẻ thường trú.
Đối với hồ sơ qua thẩm định chưa đủ điều kiện giải quyết, sau 15 ngày kể từ khi thông báo, nếu cơ quan, tổ chức, cá nhân bảo lãnh không hoàn thành việc hoàn thiện hồ sư thì hồ sơ sẽ bị đóng trên Hệ thống thông tin giải quyết thủ tục hành chính.",100 USD/thẻ.,Mẫu-NA12 - Cấp thẻ thường trú.doc,Phòng Quản lý xuất nhập cảnh Công an tỉnh Phú Thọ,,Nguồn tham khảo; chưa tự động phê duyệt.
tthc_5568-tinh-09,Cấp đổi thẻ thường trú cho người nước ngoài tại Việt Nam tại Công an cấp tỉnh,tinh,matched,exact_title,1.000,Cấp đổi thẻ thường trú cho người nước ngoài tại Việt Nam tại Công an cấp tỉnh,https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Cap-doi-the-thuong-tru-cho-nguoi-nuoc-ngoai-tai-1333-17,b8744e0edb06749f2607d0d1e3dbb58825a52e5464ce7ff513219d70cbca2bb2,20 ngày kể từ ngày Phòng Quản lý xuất nhập cảnh - Công an tỉnh Phú Thọ nhận đủ hồ sơ hợp lệ.,không.,"Mẫu-NA13 - Cấp đổi, lại thẻ thường trú.doc",Phòng Quản lý xuất nhập cảnh Công an tỉnh Phú Thọ,,Nguồn tham khảo; chưa tự động phê duyệt.
tthc_5568-tinh-10,Cấp lại thẻ thường trú cho người nước ngoài tại Việt Nam tại Công an cấp tỉnh,tinh,matched,exact_title,1.000,Cấp lại thẻ thường trú cho người nước ngoài tại Việt Nam tại Công an cấp tỉnh,https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Cap-lai-the-thuong-tru-cho-nguoi-nuoc-ngoai-tai-2374-17,b81f8ae38e3d5b27d7b61c2aad15d32bc2c664e2638311a9529345b790f1e509,20 ngày kể từ ngày Phòng Quản lý xuất nhập cảnh - Công an tỉnh Phú Thọ nhận đủ hồ sơ hợp lệ và phí cấp lại thẻ thường trú.,100 USD/thẻ.,Mẫu-NA12 - Cấp thẻ thường trú.doc,Phòng Quản lý xuất nhập cảnh Công an tỉnh Phú Thọ.,,Nguồn tham khảo; chưa tự động phê duyệt.
tthc_5568-tinh-11,"Cấp giấy phép vào khu vực cấm, khu vực biên giới cho người nước ngoài tại Công an cấp tỉnh",tinh,matched,exact_title,1.000,"Cấp giấy phép vào khu vực cấm, khu vực biên giới cho người nước ngoài tại Công an cấp tỉnh",https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Cap-giay-phep-vao-khu-vuc-cam-khu-vuc-bien-gioi-1335-17,549f6a69ff88c0946cebea110525f19757dae710bb231f57f218c09e018543ed,"Không quá 05 ngày làm việc kể từ ngày Phòng Quản lý xuất nhập cảnh - Công an tỉnh Phú Thọ nhận đủ hồ sơ hợp lệ và phí cấp Giấy phép vào khu vực cấm, khu vực biên giới.",10 USD/người,Mẫu-NA15- Cấp giấy phép vào khu vực cấm.doc | mau-na14-xuat-nhap-canh-cong-van-de-nghi-cap-giay-phep-vao-khu-vuc-cam-khu-vuc-bien-gioi-.doc,Phòng Quản lý xuất nhập cảnh Công an tỉnh Phú Thọ,,Nguồn tham khảo; chưa tự động phê duyệt.
tthc_5568-tinh-12,Cấp giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,tinh,matched,exact_title,1.000,Cấp giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Cap-giay-phep-xuat-nhap-canh-cho-nguoi-khong-quoc-1327-17,01a5a84275be6a8e33a0e0ccaee6cdbd5985aee06a8300a86196355d722ab34d,"Trong thời hạn 03 ngày làm việc kể từ ngày nhận đủ hồ sơ, Phòng Quản lý xuất nhập cảnh - Công an tỉnh Phú Thọ xem xét và chuyển hồ sơ đề nghị cấp, cấp lại giấy phép xuất nhập cảnh về Cục Quản lý xuất nhập cảnh. Cục Quản lý xuất nhập cảnh xem xét cấp, cấp lại giấy phép xuất nhập cảnh trong thời hạn 02 ngày làm việc.",200.000đ/lần cấp.,Mẫu-NC14 (Cấp Giấy phép XNC và cấp lại giấy phép XNC).doc,Phòng Quản lý xuất nhập cảnh Công an tỉnh Phú Thọ,,Nguồn tham khảo; chưa tự động phê duyệt.
tthc_5568-tinh-13,Cấp lại giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,tinh,matched,exact_title,1.000,Cấp lại giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Cap-lai-giay-phep-xuat-nhap-canh-cho-nguoi-khong-1328-17,f7f70a50b694ea697d3deede9677c7ace74f460e8e70e8d2c97294cb38b7d34f,"Trong thời hạn 03 ngày làm việc kể từ ngày nhận đủ hồ sơ, Phòng Quản lý xuất nhập cảnh - Công an tỉnh Phú Thọ xem xét và chuyển hồ sơ đề nghị cấp, cấp lại giấy phép xuất nhập cảnh về Cục Quản lý xuất nhập cảnh. Cục Quản lý xuất nhập cảnh xem xét cấp, cấp lại giấy phép xuất nhập cảnh trong thời hạn 02 ngày làm việc.",200.000đ/lần cấp.,Mẫu-NC14 (Cấp Giấy phép XNC và cấp lại giấy phép XNC).doc,Phòng Quản lý xuất nhập cảnh Công an tỉnh Phú Thọ,,Nguồn tham khảo; chưa tự động phê duyệt.
tthc_5568-tw-01,Cấp hộ chiếu phổ thông ở trong nước,trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_5568-tw-02,Khôi phục giá trị sử dụng hộ chiếu phổ thông,trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_5568-tw-03,Trình báo mất hộ chiếu phổ thông,trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_5568-tw-04,Cấp Giấy xác nhận nhân sự của công dân Việt Nam ở nước ngoài,trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_5568-tw-05,Đăng ký tài khoản điện tử,trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_5568-tw-06,Cấp thị thực điện tử theo đề nghị của người nước ngoài,trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_5568-tw-07,"Cấp thị thực điện tử theo đề nghị của cơ quan, tổ chức",trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_5568-tw-08,Cấp thị thực cho người nước ngoài tại Việt Nam,trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_5568-tw-09,"Kiểm tra, xét duyệt nhân sự, cấp phép nhập cảnh cho người nước ngoài, người Việt Nam định cư ở nước ngoài nhập cảnh vào Việt Nam tại Cục Quản lý xuất nhập cảnh, Bộ Công an",trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_5568-tw-10,"Cấp thẻ tạm trú cho người nước ngoài tại Cục Quản lý xuất nhập cảnh, Bộ Công an",trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_5568-tw-11,Gia hạn tạm trú cho người đã được cấp giấy miễn thị thực,trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_5568-tw-12,Gia hạn tạm trú cho người nước ngoài tại Việt Nam,trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_5568-tw-13,Cấp giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_5568-tw-14,Cấp lại giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_matt26265,Khai báo tạm trú cho người nước ngoài tại Việt Nam qua Trang thông tin điện tử,xa,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_tinh-01,"Xác nhận, cung cấp thông tin liên quan đến xuất nhập cảnh của công dân Việt Nam",tinh,review_suggestion,suggested_title,1.000,"Xác nhận, cung cấp thông tin liên quan đến xuất nhập cảnh của công dân Việt Nam tại Công an cấp tỉnh",https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Xac-nhan-cung-cap-thong-tin-lien-quan-den-xuat-2375-17,e1001498a2c28da5b25eacf9ee950d58f84f8ed816891c9af2e59890b2817f63,05 ngày làm việc kể từ ngày nhận được đơn đề nghị của công dân.,Không,M03b.doc | M04b .doc,Phòng Quản lý xuất nhập cảnh Công an tỉnh Phú Thọ.,,Nguồn tham khảo; chưa tự động phê duyệt.
tthc_tinh-02,Cấp giấy thông hành biên giới Việt Nam - Lào cho công dân Việt Nam thường trú ở tỉnh có chung đường biên giới với Lào,tinh,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_tinh-03,Cấp giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,tinh,matched,exact_title,1.000,Cấp giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Cap-giay-phep-xuat-nhap-canh-cho-nguoi-khong-quoc-1327-17,01a5a84275be6a8e33a0e0ccaee6cdbd5985aee06a8300a86196355d722ab34d,"Trong thời hạn 03 ngày làm việc kể từ ngày nhận đủ hồ sơ, Phòng Quản lý xuất nhập cảnh - Công an tỉnh Phú Thọ xem xét và chuyển hồ sơ đề nghị cấp, cấp lại giấy phép xuất nhập cảnh về Cục Quản lý xuất nhập cảnh. Cục Quản lý xuất nhập cảnh xem xét cấp, cấp lại giấy phép xuất nhập cảnh trong thời hạn 02 ngày làm việc.",200.000đ/lần cấp.,Mẫu-NC14 (Cấp Giấy phép XNC và cấp lại giấy phép XNC).doc,Phòng Quản lý xuất nhập cảnh Công an tỉnh Phú Thọ,,Nguồn tham khảo; chưa tự động phê duyệt.
tthc_tinh-04,Cấp lại giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,tinh,matched,exact_title,1.000,Cấp lại giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Cap-lai-giay-phep-xuat-nhap-canh-cho-nguoi-khong-1328-17,f7f70a50b694ea697d3deede9677c7ace74f460e8e70e8d2c97294cb38b7d34f,"Trong thời hạn 03 ngày làm việc kể từ ngày nhận đủ hồ sơ, Phòng Quản lý xuất nhập cảnh - Công an tỉnh Phú Thọ xem xét và chuyển hồ sơ đề nghị cấp, cấp lại giấy phép xuất nhập cảnh về Cục Quản lý xuất nhập cảnh. Cục Quản lý xuất nhập cảnh xem xét cấp, cấp lại giấy phép xuất nhập cảnh trong thời hạn 02 ngày làm việc.",200.000đ/lần cấp.,Mẫu-NC14 (Cấp Giấy phép XNC và cấp lại giấy phép XNC).doc,Phòng Quản lý xuất nhập cảnh Công an tỉnh Phú Thọ,,Nguồn tham khảo; chưa tự động phê duyệt.
tthc_tw-01,"Xác nhận, cung cấp thông tin liên quan đến xuất nhập cảnh của công dân Việt Nam",trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_tw-02,Cấp giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_tw-03,Cấp lại giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,trung-uong,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_xa-01,"Xác nhận, cung cấp thông tin liên quan đến xuất nhập cảnh của công dân Việt Nam",xa,review_suggestion,suggested_title,1.000,"Xác nhận, cung cấp thông tin liên quan đến xuất nhập cảnh của công dân Việt Nam tại Công an cấp xã",https://congan.phutho.gov.vn/article/thu-tuc-hanh-chinh/Xac-nhan-cung-cap-thong-tin-lien-quan-den-xuat-2456-17,a75968707dcba29784e7a04dd57bc8eaccf7f02f7e3b30210a665fa8a4068b76,05 ngày làm việc kể từ ngày nhận được đơn đề nghị của công dân.,Không.,M03b.doc | M04b .doc,Công an cấp xã,,Nguồn tham khảo; chưa tự động phê duyệt.
tthc_xa-02,Cấp giấy thông hành biên giới Việt Nam - Lào cho công dân Việt Nam thường trú ở tỉnh có chung đường biên giới với Lào,xa,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_xa-03,"Cấp giấy thông hành xuất, nhập cảnh vùng biên giới Việt Nam - Trung Quốc cho công dân Việt Nam thường trú tại đơn vị hành chính cấp xã tiếp giáp đường biên giới Việt Nam-Trung Quốc",xa,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
tthc_xa-04,"Cấp giấy thông hành xuất, nhập cảnh vùng biên giới Việt Nam - Trung Quốc cho cán bộ, công chức làm việc tại các cơ quan nhà nước có trụ sở đóng tại đơn vị hành chính cấp xã thuộc tỉnh của Việt Nam tiếp giáp đường biên giới Việt Nam - Trung Quốc",xa,unmatched,,,,,,,,,,,Không tìm thấy đối chiếu đủ tin cậy.
